state,election_date,measure_id,title,summary,full_text_url,jurisdiction,county,ocd_division_id,source_url
WA,2026-08-04,7154,South Beach Regional Fire Authority - South Beach Regional Fire Authority - Bonds Issue,,,Local,Grays Harbor; Pacific,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7181,SNO - ISLE LIBRARY DISTRICT - Proposition No. 1,Regular Property Tax Levy Lid Lift for Support of Public Library Services,,Local,Island; Snohomish,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7160,Quilcene Cemetery District No. 2 - Proposition No. 1 - Property Tax Levy for Cemetery Services.,,,Local,Jefferson,ocd-division/country:us/state:wa/county:jefferson,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7161,"Brinnon Fire Department, District No. 4 - Proposition No. 2 - Emergency Medical Services Levy Lid Lift",Emergency Medical Services Levy Lid Lift,,Local,Jefferson,ocd-division/country:us/state:wa/county:jefferson,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7162,"Brinnon Fire Department, District No. 4 - Proposition No. 1 - Regular Property Tax Levy Lid Lift",,,Local,Jefferson,ocd-division/country:us/state:wa/county:jefferson,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7163,"Quilcene Fire Department, District No. 2 - Proposition No. 1 - Property Tax Levy for Fire Protection and Emergency Medical Services.",Property Tax Levy for Fire Protection and Emergency Medical Services,,Local,Jefferson,ocd-division/country:us/state:wa/county:jefferson,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7169,County - Jefferson County - Proposition No. 1 - County Parks and Rec Levy,,,Local,Jefferson,ocd-division/country:us/state:wa/county:jefferson,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7152,King County Fire Protection District No. 43 - Proposition No. 1,Annexation of the District into the Puget Sound Regional Fire Authority,,Local,King,ocd-division/country:us/state:wa/county:king,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7159,King County Fire Protection District No. 47 - Proposition No. 1,Property Tax Levy for Fire Protection and Emergency Medical Services,,Local,King,ocd-division/country:us/state:wa/county:king,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7182,City of Black Diamond - Proposition No. 1,Annexation of the City of Black Diamond Into the Puget Sound Regional Fire Authority,,Local,King,ocd-division/country:us/state:wa/county:king,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7183,City of Covington - Proposition No. 1,Formation and Funding of Covington Park and Recreation District,,Local,King,ocd-division/country:us/state:wa/county:king,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7184,City of Seattle - Proposition No. 1,Property Tax Levy for The Seattle Public Library,,Local,King,ocd-division/country:us/state:wa/county:king,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7186,Skykomish School District No. 404 - Proposition No. 1,Replacement of Existing Educational Programs and Operations Levy,,Local,King,ocd-division/country:us/state:wa/county:king,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7166,SNOQUALMIE PASS FIRE AND RESCUE - Intent to Continue Voter Authorized Benefit Charge,Proposition No. 1,,Local,King; Kittitas,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7211,Kitsap County Fire Protection District No. 18 - Proposition No. 1,,,Local,Kitsap,ocd-division/country:us/state:wa/county:kitsap,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7224,City of Bremerton - Proposition No. 1,,,Local,Kitsap,ocd-division/country:us/state:wa/county:kitsap,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7209,North Mason Regional Fire Authority - Emergency Medical Services Property Tax Levy,Emergency Medical Services Property Tax Levy,,Local,Kitsap; Mason,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7153,FIRE DISTRICT 2 - Levy Lid Lift,Proposition No. 1,,Local,Kittitas,ocd-division/country:us/state:wa/county:kittitas,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7167,CITY OF ROSLYN - Public Library Levy,Proposition No. 1,,Local,Kittitas,ocd-division/country:us/state:wa/county:kittitas,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7206,CITY OF CLE ELUM - Two Year Levy Lid Lift for Fire Department Operations and Improvements,Proposition No. 1,,Local,Kittitas,ocd-division/country:us/state:wa/county:kittitas,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7213,LYLE FIRE DISTRICT # 4 - Proposition No. 1,Property Tax Levy for Fire Protection and Emergency Medical Services,,Local,Klickitat,ocd-division/country:us/state:wa/county:klickitat,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7194,FIRE DISTRICT 3 - MOSSYROCK - Restore EMS Property Tax Levy,Restore Emergency Medical Services,,Local,Lewis,ocd-division/country:us/state:wa/county:lewis,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7195,FIRE DISTRICT 8 - SALKUM-SILVER CRK - Property Tax Levy for Fire Protection and Emergency Medical Services,Property Tax Levy for Fire Protection and Emergency Medical Services,,Local,Lewis,ocd-division/country:us/state:wa/county:lewis,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7196,FIRE DISTRICT 15 - WINLOCK - Emergency Services Levy,Emergency Services Levy,,Local,Lewis,ocd-division/country:us/state:wa/county:lewis,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7155,CEMETERY DISTRICT 7 - Proposition No. 1,Regular Property Tax Levy for Cemetery Maintenance and Operation,,Local,Lincoln,ocd-division/country:us/state:wa/county:lincoln,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7207,Fire Protection Dist 5 - Property Tax Levy for Fire Protection and Emergency Medical Services,Property Tax Levy for Fire Protection and Emergency Medical Services,,Local,Mason,ocd-division/country:us/state:wa/county:mason,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7164,OROVILLE SCHOOL 410 - Oroville School District No. 410 Replacement of Expiring Educational Programs and Operation Levy,Replacement EPO Levy,,Local,Okanogan,ocd-division/country:us/state:wa/county:okanogan,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7165,County - Okanogan County Proposition No. 1 Levy for Maintaining County Services and Public Facilities,Levy Lid Lift,,Local,Okanogan,ocd-division/country:us/state:wa/county:okanogan,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7193,CITY OF PATEROS - Emergency Medical Care or Emergency Medical Services Levy,Emergency Medical Care or Emergency Medical Services Levy,,Local,Okanogan,ocd-division/country:us/state:wa/county:okanogan,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7189,Hospital District - 01 - Hospital Expansion & Renovation Bonds,Newport Expansion & Renovation Bond,,Local,Pend Oreille,ocd-division/country:us/state:wa/county:pend_oreille,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7226,TOWN OF CARBONADO - Proposition No. 1,EMERGENCY MEDICAL SERVICES PROPERTY TAX LEVY,,Local,Pierce,ocd-division/country:us/state:wa/county:pierce,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7227,CITY OF FIRCREST - Proposition No. 1,Emergency Medical Care and Services,,Local,Pierce,ocd-division/country:us/state:wa/county:pierce,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7228,CITY OF TACOMA - Proposition No. 1,FUNDING TRANSPORTATION SAFETY IMPROVEMENTS,,Local,Pierce,ocd-division/country:us/state:wa/county:pierce,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
